目录,du B,du TB,文件数量,分区格式,保留周期（天）,已配置TTL,业务线,使用者,目录属主,目录属组,数据接入方式,离线/在线迁移,Client版本,迁移状态
/data/hive/indigo_mediate_tb.db/indigo_jiangjing_worldfeed_topic_consumption_02,"1,666,850,000,000",1.516,,,,,,,jiangjing,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_feed_uid_action_entrance_switch_day,"1,644,570,000,000",1.496,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_hxy_channel_subscribe_copy,"1,641,020,000,000",1.492,,,,,,,huangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_contect_detail_day_world_uv,"1,618,500,000,000",1.472,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_base_to_call,"1,543,880,000,000",1.404,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_call_gaididfa_detail_day,"1,499,500,000,000",1.364,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_consume_labels,"1,461,620,000,000",1.329,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_base,"1,424,120,000,000",1.295,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_switch_user_mediate,"1,352,550,000,000",1.230,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_limingjun_sdl_feed_postid_day,"1,332,230,000,000",1.212,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_offline_user_day_mirror,"1,318,200,000,000",1.199,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_daily_user_friends_info,"1,300,020,000,000",1.182,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_promote_channel_uid_info,"1,258,100,000,000",1.144,,,,,,,luoshifa,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_activity_retention_table_daily,"1,244,370,000,000",1.132,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_completed_call_month,"1,234,800,000,000",1.123,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_channel_follow_type_analysis,"1,200,800,000,000",1.092,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_action_30day_reguv_day,"1,190,270,000,000",1.083,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_feed_bgroup_uid,"1,172,440,000,000",1.066,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_world_mwy_resource_publish,"1,171,470,000,000",1.065,,,,,,,mawenying,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_mwy_imo_live_server_record_day,"1,158,750,000,000",1.054,,,,,,,mawenying,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_activity_retention_table_new_daily,"1,156,330,000,000",1.052,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_uid_action_month,"1,145,950,000,000",1.042,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_audio_uid_list,"1,130,540,000,000",1.028,,,,,,,zhangyangjiang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_city_name_union_day,"1,123,920,000,000",1.022,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_world_uid_vv_day,"1,111,300,000,000",1.011,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_limingjun_bl_story_newold_day,"1,092,080,000,000",0.993,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_rec_show_event_orc_tmp,"1,076,390,000,000",0.979,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_last_login_hour,"1,046,620,000,000",0.952,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_world_wyf_uid_first_login_hour,"1,042,940,000,000",0.949,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_lmj_imo_audio_uid_month,"1,041,740,000,000",0.947,,,,,,,limingjun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhangxin8_imolive_sabc_day,"1,020,290,000,000",0.928,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_daily_user_churn_type_info_v2,"956,700,000,000",0.870,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_zhangxin8_imozone_untilyesterday_view_day,"937,428,000,000",0.853,,,,,,,zhangxin8,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day6,"927,126,000,000",0.843,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_bg_bucket_user_day3_mirror,"915,120,000,000",0.832,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/3s_high_active_user_daily_orc_v2,"910,487,000,000",0.828,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_audio_uid_30days_calls_dyh_v2,"900,825,000,000",0.819,,,,,,,dunyuhui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/5s_high_active_user_daily_orc_v2,"899,756,000,000",0.818,,,,,,,yangzehui,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_uid_transfer_lang_day,"882,520,000,000",0.803,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zxy_uid_friends_block_0,"878,432,000,000",0.799,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_ksing_imouid_bag_month,"872,957,000,000",0.794,,,,,,,wangyunfei1,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_wyf_imo_uid_last_login_day_active_days,"836,552,000,000",0.761,,,,,,,wangyunfei,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_tmp_user_recvinfo_week,"827,260,000,000",0.752,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_panquanhai_tmp_user_lostinfo_week,"817,724,000,000",0.744,,,,,,,panquanhai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zhuangxiaoyi_moments_untilyesterday_use_day_0910,"797,764,000,000",0.726,,,,,,,zhuangxiaoyi,hdfs,,,,
/data/hive/indigo_mediate_tb.db/wf_wangyakun_av_netstate_completed_rate_filter_day,"792,041,000,000",0.720,,,,,,,wangyakun,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_heshuting_language_from_call,"786,250,000,000",0.715,,,,,,,heshuting,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_user_activity_abflag_mediate,"759,725,000,000",0.691,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_yunying_inbg_uid_day,"750,879,000,000",0.683,,,,,,,liuruokai,hdfs,,,,
/data/hive/indigo_mediate_tb.db/imo_daily_user_friends_info_v2,"750,028,000,000",0.682,,,,,,,zhangyangjiang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigochannels_subscribe_all,"748,450,000,000",0.681,,,,,,,zhangyangjiang,hdfs,,,,
/data/hive/indigo_mediate_tb.db/indigo_zoutianyu_feed_year_total,"737,897,000,000",0.671,,,,,,,zoutianyu,hdfs,,,,
/data/hive/indigo_mediate_tb.db/user_action_info_day_orc_v2,"728,234,000,000",0.662,,,,,,,yangzehui,hdfs,,,,
